All device pins and their pinmux options
Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
75,GPIO49,,GPIO49,,EMIF1_A9,EMIF1_A5,GPIO49,UARTD_RX,,,GPIO49,OUTPUTXBAR4,ESC_TX1_DATA2,SD1_C1,GPIO49,FSITXA_D0,,SD2_D1
76,GPIO50,,GPIO50,EPWM15_A,EMIF1_A10,EMIF1_A6,GPIO50,,SPIC_PICO,MCANF_TX,GPIO50,,ESC_TX1_DATA1,SD1_D2,GPIO50,FSITXA_D1,ESC_GPI25,SD2_D2
77,GPIO51,,GPIO51,EPWM15_B,EMIF1_A11,EMIF1_A7,GPIO51,,SPIC_POCI,MCANF_RX,GPIO51,,ESC_TX1_CLK,SD1_C2,GPIO51,FSITXA_CLK,ESC_GPI26,SD2_D3
78,GPIO52,,GPIO52,EPWM16_A,EMIF1_A12,EMIF1_A8,GPIO52,UARTD_TX,SPIC_CLK,,GPIO52,,ESC_TX1_ENA,SD1_D3,GPIO52,FSIRXA_D0,,SD2_D4
79,GPIO53,,GPIO53,EPWM16_B,EMIF1_D31,EMIF1_A9,GPIO53,UARTD_RX,SPIC_PTE,,GPIO53,,ESC_PHY0_LINKSTATUS,SD1_C3,GPIO53,FSIRXA_D1,ESC_GPI28,SD1_C1
80,GPIO54,,GPIO54,,EMIF1_D30,EMIF1_A10,GPIO54,SPIA_PICO,,,GPIO54,,ESC_PHY_CLK,SD1_D4,GPIO54,FSIRXA_CLK,ESC_GPI29,SD1_C2
81,VDDIO,VDDIO
82,GPIO56,,GPIO56,EPWM17_A,EMIF1_D28,EMIF1_D1,GPIO56,SPIA_CLK,MCAND_TX,I2CA_SDA,GPIO56,,ESC_PDI_UC_IRQ,SD2_D1,GPIO56,FSITXB_CLK,ESC_GPI30,SD1_C4
83,VDDIO,VDDIO
84,GPIO57,,GPIO57,EPWM17_B,EMIF1_D27,EMIF1_D2,GPIO57,SPIA_PTE,MCAND_RX,I2CA_SCL,GPIO57,,ESC_MDIO_DATA,SD2_C1,GPIO57,FSITXB_D1,ESC_GPI31,SD3_D3
85,GPIO58,,GPIO58,EPWM13_A,EMIF1_D26,EPWM8_A,GPIO58,SPIA_PICO,,MCANC_RX,GPIO58,SENT1,ESC_LED_LINK0_ACTIVE,SD2_D2,GPIO58,FSIRXB_D0,ESC_TX0_DATA3,SD2_C2
86,GPIO59,,GPIO59,EPWM5_A,EMIF1_D25,EPWM8_B,GPIO59,SPIA_POCI,,MCANC_TX,GPIO59,SENT2,ESC_LED_LINK1_ACTIVE,SD2_C2,GPIO59,FSIRXB_D1,ESC_TX0_ENA,SD2_C3
87,VDD,VDD
88,GPIO60,,GPIO60,EPWM3_B,EMIF1_D24,EMIF1_D0,GPIO60,SPIA_CLK,OUTPUTXBAR3,,GPIO60,SENT3,ESC_LED_ERR,ESC_LATCH0,GPIO60,FSIRXB_CLK,,SD2_C4
89,GPIO61,,GPIO61,EPWM17_B,EMIF1_D23,EMIF1_D6,GPIO61,SPIA_PTE,,MCANC_RX,GPIO61,OUTPUTXBAR4,ESC_LED_RUN,SD2_C3,GPIO61,FSITXD_CLK,ESC_LATCH1,
90,GPIO62,GPIO62,GPIO62,EPWM17_A,EMIF1_D22,EMIF1_D7,GPIO62,,MCANC_RX,MCANC_TX,GPIO62,SENT4,ESC_LED_STATE_RUN,SD2_D4,GPIO62,FSITXD_D0,ESC_MDIO_CLK,
91,GPIO63,,GPIO63,EPWM9_A,EMIF1_D21,EMIF1_RNW,GPIO63,SPIB_PICO,MCANC_TX,,GPIO63,SENT5,ESC_RX1_DATA0,SD1_D1,GPIO63,FSITXD_D1,ADCD_EXTMUXSEL0,SD2_C4
92,GPIO64,,GPIO64,EPWM9_B,EMIF1_D20,EMIF1_WAIT,GPIO64,SPIB_POCI,MCANA_TX,UARTF_TX,GPIO64,SENT6,ESC_RX1_DATA1,SD1_C1,GPIO64,FSITXD_CLK,ADCD_EXTMUXSEL1,
93,GPIO65,,GPIO65,EPWM10_A,EMIF1_D19,EMIF1_WEn,GPIO65,SPIB_CLK,MCANA_RX,UARTF_RX,GPIO65,,ESC_RX1_DATA2,SD1_D2,GPIO65,FSITXB_CLK,ADCD_EXTMUXSEL2,ESC_GPI13
94,GPIO66,,GPIO66,EPWM10_B,EMIF1_D18,EMIF1_OEn,GPIO66,SPIB_PTE,I2CB_SDA,,GPIO66,,ESC_RX1_DATA3,SD1_C2,GPIO66,FSITXB_D1,ADCD_EXTMUXSEL3,ESC_GPI14
95,VDDIO,VDDIO
96,GPIO32,,GPIO32,,EMIF1_CS0n,EMIF1_OEn,GPIO32,SPIA_PICO,SPID_CLK,I2CA_SDA,GPIO32,OUTPUTXBAR9,ESC_RX0_DATA0,,GPIO32,,,
97,GPIO127,,GPIO127,EPWM18_A,EMIF1_D18,EMIF1_A11,GPIO127,SPID_POCI,,,GPIO127,,ESC_GPI27,SD1_C3,GPIO127,FSIRXC_D1,ESC_SYNC0,ESC_GPO26
98,VDD,VDD
99,VDDIO,VDDIO
100,GPIO221/ X2,,GPIO221,EPWM6_B,,EMIF1_CAS,GPIO221,SPID_PTE,MCANC_RX,,GPIO221,OUTPUTXBAR3,,SD3_C3,GPIO221,ESC_GPI10,,ESC_GPO29
101,VSSOSC,VSSOSC
102,GPIO220/ X1,,GPIO220,EPWM6_A,,,GPIO220,SPID_POCI,MCANC_TX,,GPIO220,OUTPUTXBAR2,,SD3_D3,GPIO220,ESC_GPI9,,ESC_GPO28
103,XRSn,XRSn
104,GPIO38,,GPIO38,EPWM18_B,EMIF1_A0,EMIF1_A3,GPIO38,UARTA_TX,SPIE_PICO,,GPIO38,OUTPUTXBAR15,ESC_RX0_DATA1,SD1_D3,GPIO38,FSITXD_D1,EMIF1_CS2n,
105,GPIO103,,GPIO103,EPWM8_B,EMIF1_BA0,EMIF1_D3,GPIO103,SPIC_PTE,,,GPIO103,,ESC_GPI3,SD4_C4,GPIO103,FSIRXA_D0,,ESC_GPO25
106,VDDIO,VDDIO
107,GPIO42,UARTA_TX,GPIO42,EPWM14_A,EMIF1_A2,EMIF1_A13,GPIO42,UARTA_TX,SPIE_CLK,I2CA_SDA,GPIO42,OUTPUTXBAR13,SD4_C3,SD4_C4,GPIO42,FSIRXD_D0,ADCE_EXTMUXSEL2,
108,GPIO43,UARTA_RX,GPIO43,EPWM14_B,EMIF1_A4,EMIF1_D13,GPIO43,UARTA_RX,SPIE_PTE,I2CA_SCL,GPIO43,OUTPUTXBAR14,,SD4_D4,GPIO43,FSIRXD_D1,ADCE_EXTMUXSEL3,
109,GPIO68,,GPIO68,EPWM17_B,EMIF1_D16,EMIF1_D4,GPIO68,LINB_RX,MCAND_RX,EMIF1_D13,GPIO68,,ESC_PHY1_LINKSTATUS,SD1_C3,GPIO68,FSIRXB_D1,,ESC_GPI15
110,GPIO70,,GPIO70,EPWM11_B,EMIF1_D14,,GPIO70,SPIC_POCI,MCANC_RX,UARTB_TX,GPIO70,,ESC_RX1_DV,SD1_C4,GPIO70,FSIRXB_D0,,ESC_GPI16
111,GPIO71,,GPIO71,EPWM12_A,EPWM11_A,EMIF1_D5,GPIO71,SPIC_CLK,MCANC_TX,UARTB_RX,GPIO71,EMIF1_D13,ESC_RX1_ERR,SD3_D1,GPIO71,FSITXC_CLK,FSITXB_D0,
112,VDD,VDD
113,VDDIO,VDDIO
114,GPIO72,,GPIO72,EPWM12_B,EMIF1_D12,,GPIO72,SPIC_PTE,MCANB_RX,UARTA_TX,GPIO72,OUTPUTXBAR8,ESC_TX1_DATA3,SD3_D2,GPIO72,FSITXC_D0,SD3_C1,
115,GPIO76,,GPIO76,EPWM9_A,EMIF1_D8,,GPIO76,UARTD_TX,,MCANE_TX,GPIO76,SD4_D4,ESC_PHY_RESETn,SD3_C1,GPIO76,FSIRXC_D0,SD2_C3,ESC_GPI17
116,GPIO77,,GPIO77,EPWM9_B,EMIF1_D7,,GPIO77,UARTD_RX,,MCANE_RX,GPIO77,SD1_D4,ESC_RX0_CLK,SD3_D1,GPIO77,FSITXB_D0,SD2_D4,
117,GPIO78,,GPIO78,EPWM10_A,EMIF1_D6,EPWM11_A,GPIO78,,,MCANF_TX,GPIO78,SD4_D4,ESC_RX0_DV,SD3_C2,GPIO78,FSITXC_D1,SD2_C4,ESC_GPI18
118,VDDIO,VDDIO
119,GPIO84,,GPIO84,EPWM12_B,EMIF1_D1,EMIF1_CS4n,GPIO84,SPIC_PICO,UARTA_TX,MCANF_RX,GPIO84,,ESC_TX0_ENA,SD3_C2,GPIO84,FSITXC_D1,ESC_RX0_DATA3,ESC_GPO24
120,GPIO30,,GPIO30,EPWM16_A,EMIF1_CLK,EMIF1_CS4n,GPIO30,MCANC_RX,SPID_PICO,EMIF1_A12,GPIO30,,ESC_LATCH1,SD2_D4,GPIO30,ESC_I2C_SCL,ESC_SYNC1,OUTPUTXBAR7
121,GPIO29,,GPIO29,EPWM15_B,PMBUSA_SDA,,GPIO29,,UARTE_RX,I2CA_SDA,GPIO29,SENT3,ESC_LATCH0,,GPIO29,ESC_I2C_SDA,ADCC_EXTMUXSEL1,OUTPUTXBAR6
122,VDDIO,VDDIO
123,VDD,VDD
124,GPIO26,,GPIO26,EPWM14_A,EMIF1_DQM2,,GPIO26,SPIB_CLK,UARTE_TX,MCANE_TX,GPIO26,PMBUSA_CTL,ESC_RX0_ERR,SD2_D2,GPIO26,FSITXA_D0,ESC_MDIO_CLK,OUTPUTXBAR3
125,GPIO25,,GPIO25,EPWM13_B,EMIF1_DQM1,,GPIO25,SPIB_POCI,LINB_RX,MCANE_RX,GPIO25,PMBUSA_SDA,ESC_RX0_DV,SD2_C1,GPIO25,FSITXA_D1,EPWM2_B,OUTPUTXBAR2
126,GPIO24,,GPIO24,EPWM13_A,EMIF1_DQM0,,GPIO24,SPIB_PICO,LINB_TX,MCANE_TX,GPIO24,,ESC_RX0_CLK,SD2_D1,GPIO24,ESC_GPI24,EPWM2_A,OUTPUTXBAR1
127,GPIO23,,GPIO23,EPWM12_B,,PMBUSA_SCL,GPIO23,I2CB_SCL,UARTB_RX,MCANC_RX,GPIO23,SENT6,ESC_PHY_RESETn,,GPIO23,ESC_GPI23,ADCC_EXTMUXSEL0,
128,GPIO0,EPWM1_A,GPIO0,EPWM1_A,EMIF1_A13,EMIF1_D0,GPIO0,MCAND_TX,I2CA_SDA,UARTE_TX,GPIO0,OUTPUTXBAR9,ESC_TX0_DATA0,ESC_GPI0,GPIO0,FSITXA_D0,,
129,GPIO1,EPWM1_B,GPIO1,EPWM1_B,EMIF1_A14,EMIF1_D3,GPIO1,MCAND_RX,I2CA_SCL,UARTE_RX,GPIO1,OUTPUTXBAR10,ESC_TX1_DATA0,ESC_GPI1,GPIO1,FSITXA_D1,,
130,GPIO2,GPIO2,GPIO2,EPWM2_A,EMIF1_A15,EMIF1_D4,GPIO2,UARTA_TX,I2CB_SDA,MCANF_TX,GPIO2,OUTPUTXBAR1,ESC_RX1_ERR,ESC_GPI2,GPIO2,FSITXA_CLK,,
131,GPIO3,GPIO3,GPIO3,EPWM2_B,EMIF1_A16,EMIF1_D5,GPIO3,UARTA_RX,I2CB_SCL,MCANF_RX,GPIO3,OUTPUTXBAR2,,ESC_GPI3,GPIO3,FSIRXA_D0,,
132,GPIO4,GPIO4,GPIO4,EPWM3_A,EMIF1_A17,EMIF1_D9,GPIO4,MCANC_TX,,UARTF_TX,GPIO4,OUTPUTXBAR3,,ESC_GPI4,GPIO4,FSIRXA_D1,,ERRORSTS
133,GPIO5,GPIO5,GPIO5,EPWM3_B,EMIF1_A18,EMIF1_D10,GPIO5,MCANC_RX,,UARTF_RX,GPIO5,OUTPUTXBAR11,OUTPUTXBAR3,ESC_GPI5,GPIO5,FSIRXA_CLK,,
134,GPIO6,,GPIO6,EPWM4_A,EMIF1_DQM0,EMIF1_CLK,GPIO6,MCANB_TX,LINA_TX,,GPIO6,OUTPUTXBAR4,SYNCOUT,ESC_GPI6,GPIO6,FSITXB_D0,,
135,GPIO7,,GPIO7,EPWM4_B,EMIF1_DQM1,EMIF1_CAS,GPIO7,MCANB_RX,LINA_RX,,GPIO7,OUTPUTXBAR5,,ESC_GPI7,GPIO7,FSITXB_D1,,
136,VDDIO,VDDIO
137,VDD,VDD
138,GPIO8,,GPIO8,EPWM5_A,EMIF1_RAS,EPWM4_B,GPIO8,MCANC_TX,SPIE_PICO,UARTD_TX,GPIO8,OUTPUTXBAR12,ADCSOCAO,ESC_GPO0,GPIO8,FSITXB_CLK,FSITXA_D1,FSIRXA_D0
139,GPIO9,,GPIO9,EPWM5_B,EMIF1_D11,,GPIO9,,SPIE_POCI,UARTD_RX,GPIO9,OUTPUTXBAR6,ESC_TX0_CLK,ESC_GPO1,GPIO9,FSIRXB_D0,FSITXA_D0,FSIRXA_CLK
140,GPIO10,,GPIO10,EPWM8_A,PMBUSA_SCL,ADCSOCBO,GPIO10,MCANC_RX,UARTC_TX,I2CA_SCL,GPIO10,SENT2,,,GPIO10,ESC_GPI19,ADCA_EXTMUXSEL2,OUTPUTXBAR13
141,GPIO11,,GPIO11,EPWM6_B,EMIF1_D15,EPWM7_B,GPIO11,,SPIE_PTE,SD4_D1,GPIO11,PMBUSA_ALERT,ESC_TX0_DATA1,ESC_GPO3,GPIO11,FSIRXB_CLK,FSIRXA_D1,OUTPUTXBAR7
142,GPIO12,,GPIO12,EPWM7_A,EMIF1_A1,ADCSOCAO,GPIO12,,SPIE_CLK,SD4_C2,GPIO12,PMBUSA_CTL,ESC_TX0_DATA2,ESC_GPO4,GPIO12,FSIRXC_D0,FSIRXA_D0,OUTPUTXBAR14
143,GPIO13,,GPIO13,EPWM7_B,EMIF1_CS0n,EMIF1_D9,GPIO13,,UARTC_RX,SD4_D2,GPIO13,PMBUSA_SDA,ESC_TX0_DATA3,ESC_GPO5,GPIO13,FSIRXC_D1,FSIRXA_CLK,OUTPUTXBAR15
144,GPIO14,,GPIO14,EPWM6_A,EMIF1_D17,EPWM18_A,GPIO14,EMIF1_D13,LINA_TX,OUTPUTXBAR3,GPIO14,PMBUSA_SCL,ESC_PHY1_LINKSTATUS,ESC_GPO6,GPIO14,FSIRXC_CLK,SD4_C1,OUTPUTXBAR8
PAD,VSS,VSS

